Cena,Kaucja,Powierzchnia,Liczba pokoi,Rodzaj zabudowy,Piętro,Okna,Ogrzewanie,Stan wykończenia,φ,λ,Czynsz - dodatkowo,Liczba pięter,Materiał budynku,Rok budowy
23612,27000,154,3,apartamentowiec,> 10,aluminiowe,miejskie,,52.231267445916,21.002482457455,3388,52,inne,2015
9110,11000,64,2,apartamentowiec,> 10,aluminiowe,miejskie,,52.231217998139,21.002459608984,1890,52,inne,2015
23865,27000,142.5,4,apartamentowiec,> 10,aluminiowe,miejskie,,52.231642,20.9960988,3135,33,inne,2015
9110,11000,64,2,apartamentowiec,> 10,aluminiowe,miejskie,,52.231303423128,21.002545439673,1890,52,inne,2015
9110,11000,64,2,apartamentowiec,> 10,aluminiowe,miejskie,,52.231172,21.0038329,1890,52,inne,2015
12820,14800,90,3,apartamentowiec,> 10,aluminiowe,miejskie,,52.231214876668,21.002428813275,1980,52,inne,2015
3499,4000,43,1,kamienica,2,plastikowe,miejskie,do zamieszkania,52.23876359991189,21.030453700559452,,5,cegła,1936
2200,2200,45,2,blok,1,drewniane,miejskie,do zamieszkania,52.1923861,20.8999832,1,6,cegła,2001
26000,,262,5,apartamentowiec,4,drewniane,miejskie,,52.2703028,20.9754983,,,cegła,2007
12000,,120,3,apartamentowiec,2,drewniane,miejskie,,52.2421192,21.0083458,,6,cegła,2004
13500,,156,3,apartamentowiec,6,aluminiowe,miejskie,,52.2030807,20.9960449,,6,cegła,2013
13000,,160,4,apartamentowiec,,drewniane,miejskie,,52.2340585,21.0303402,,,cegła,2014
12000,,139,4,apartamentowiec,4,drewniane,miejskie,,52.2414352,21.0280864,,5,cegła,2010
8000,16000,158,5,apartamentowiec,1,plastikowe,miejskie,,52.1955049,20.9881198,,3,cegła,
14000,,165,5,apartamentowiec,5,drewniane,miejskie,,52.2407105,21.0258064,,6,cegła,2006
2600,2600,42,2,apartamentowiec,6,plastikowe,miejskie,,52.2336971,20.9940979,,13,cegła,2017
9000,10000,106,3,apartamentowiec,1,drewniane,miejskie,,52.2414352,21.0280864,,3,cegła,2017
7500,,145,5,apartamentowiec,> 10,plastikowe,miejskie,,52.1827432,21.0455497,,11,cegła,2001
9000,,160,4,blok,5,drewniane,miejskie,,52.1924656,21.0103884,,6,cegła,2001
10000,,100,3,apartamentowiec,2,drewniane,miejskie,,52.2414352,21.0280864,,5,cegła,2012
7300,10000,167,4,apartamentowiec,1,drewniane,miejskie,,52.1852939,21.0519269,,10,cegła,2004
15000,,145,4,apartamentowiec,2,drewniane,miejskie,,52.2006696,21.0416482,,4,cegła,2003
10500,,100,3,apartamentowiec,> 10,drewniane,,,52.2349979,20.9923713,,11,,2009
9900,,133,4,apartamentowiec,1,drewniane,,,52.1845913,21.0332113,,4,,2010
