Cena,Kaucja,Powierzchnia,Liczba pokoi,Rodzaj zabudowy,Piętro,Okna,Ogrzewanie,Stan wykończenia,φ,λ,Czynsz - dodatkowo,Liczba pięter,Materiał budynku,Rok budowy,Czas dojazdu do centrum
23612,27000.0,154.0,3,apartamentowiec,> 10,aluminiowe,miejskie,,52.231267445916004,21.002482457455002,3388.0,52.0,inne,2015.0,5.233333333333333
9110,11000.0,64.0,2,apartamentowiec,> 10,aluminiowe,miejskie,,52.231217998139,21.002459608984,1890.0,52.0,inne,2015.0,5.283333333333333
23865,27000.0,142.5,4,apartamentowiec,> 10,aluminiowe,miejskie,,52.231642,20.996098800000002,3135.0,33.0,inne,2015.0,11.0
9110,11000.0,64.0,2,apartamentowiec,> 10,aluminiowe,miejskie,,52.231303423128004,21.002545439673,1890.0,52.0,inne,2015.0,5.133333333333334
9110,11000.0,64.0,2,apartamentowiec,> 10,aluminiowe,miejskie,,52.231171999999994,21.0038329,1890.0,52.0,inne,2015.0,2.45
12820,14800.0,90.0,3,apartamentowiec,> 10,aluminiowe,miejskie,,52.231214876668,21.002428813275,1980.0,52.0,inne,2015.0,5.316666666666666
3499,4000.0,43.0,1,kamienica,2,plastikowe,miejskie,do zamieszkania,52.23876359991189,21.03045370055945,,5.0,cegła,1936.0,18.0
2200,2200.0,45.0,2,blok,1,drewniane,miejskie,do zamieszkania,52.1923861,20.8999832,1.0,6.0,cegła,2001.0,34.0
26000,,262.0,5,apartamentowiec,4,drewniane,miejskie,,52.270302799999996,20.9754983,,,cegła,2007.0,26.0
12000,,120.0,3,apartamentowiec,2,drewniane,miejskie,,52.242119200000005,21.0083458,,6.0,cegła,2004.0,21.0
13500,,156.0,3,apartamentowiec,6,aluminiowe,miejskie,,52.2030807,20.996044899999998,,6.0,cegła,2013.0,31.0
13000,,160.0,4,apartamentowiec,,drewniane,miejskie,,52.2340585,21.0303402,,,cegła,2014.0,15.0
12000,,139.0,4,apartamentowiec,4,drewniane,miejskie,,52.2414352,21.028086399999996,,5.0,cegła,2010.0,21.0
8000,16000.0,158.0,5,apartamentowiec,1,plastikowe,miejskie,,52.1955049,20.9881198,,3.0,cegła,,33.0
14000,,165.0,5,apartamentowiec,5,drewniane,miejskie,,52.2407105,21.025806399999997,,6.0,cegła,2006.0,23.0
2600,2600.0,42.0,2,apartamentowiec,6,plastikowe,miejskie,,52.2336971,20.9940979,,13.0,cegła,2017.0,14.0
9000,10000.0,106.0,3,apartamentowiec,1,drewniane,miejskie,,52.2414352,21.028086399999996,,3.0,cegła,2017.0,21.0
7500,,145.0,5,apartamentowiec,> 10,plastikowe,miejskie,,52.182743200000004,21.0455497,,11.0,cegła,2001.0,28.0
9000,,160.0,4,blok,5,drewniane,miejskie,,52.1924656,21.0103884,,6.0,cegła,2001.0,31.0
10000,,100.0,3,apartamentowiec,2,drewniane,miejskie,,52.2414352,21.028086399999996,,5.0,cegła,2012.0,21.0
7300,10000.0,167.0,4,apartamentowiec,1,drewniane,miejskie,,52.1852939,21.051926899999998,,10.0,cegła,2004.0,32.0
15000,,145.0,4,apartamentowiec,2,drewniane,miejskie,,52.2006696,21.041648199999997,,4.0,cegła,2003.0,31.0
10500,,100.0,3,apartamentowiec,> 10,drewniane,,,52.234997899999996,20.992371300000002,,11.0,,2009.0,15.0
9900,,133.0,4,apartamentowiec,1,drewniane,,,52.184591299999994,21.0332113,,4.0,,2010.0,39.0
22500,,250.0,5,apartamentowiec,,drewniane,miejskie,,52.234997899999996,20.992371300000002,,,inne,,15.0
6500,,92.0,3,apartamentowiec,3,,,,52.1469533,21.2426086,,6.0,,2005.0,67.0
7000,,83.0,3,apartamentowiec,7,drewniane,,,52.2407105,21.025806399999997,,7.0,,2006.0,23.0
11000,,178.0,5,apartamentowiec,3,drewniane,,,52.2009348,21.0389299,,6.0,,2007.0,30.0
5500,,68.0,3,apartamentowiec,8,drewniane,miejskie,,52.191338,21.0205633,,9.0,cegła,2016.0,26.0
12500,,100.0,4,apartamentowiec,5,drewniane,miejskie,,52.234997899999996,20.992371300000002,,14.0,cegła,2019.0,15.0
7000,,92.0,3,apartamentowiec,5,drewniane,,,52.2342368,21.016478699999997,,7.0,,2009.0,16.0
7800,,148.0,4,apartamentowiec,> 10,plastikowe,miejskie,,52.257769,20.994525399999997,,12.0,inne,2002.0,15.0
7900,,131.0,4,apartamentowiec,3,drewniane,miejskie,,52.2146862,21.0463924,,5.0,cegła,2003.0,31.0
8000,,80.0,4,apartamentowiec,2,drewniane,miejskie,,52.2407105,21.025806399999997,,6.0,cegła,2011.0,23.0
7500,7500.0,95.0,3,kamienica,2,drewniane,miejskie,do zamieszkania,52.2324848,21.0154872,,5.0,cegła,,11.0
2600,2600.0,40.0,2,blok,6,plastikowe,miejskie,do zamieszkania,52.2308245,20.9964303,1.0,11.0,wielka płyta,1970.0,13.0
9000,10000.0,153.0,5,apartamentowiec,1,drewniane,miejskie,,52.1943982,20.9870497,,,cegła,2010.0,35.0
6900,,101.0,3,apartamentowiec,2,drewniane,miejskie,,52.2522691,21.0033035,,4.0,inne,2009.0,26.0
14500,,243.0,6,apartamentowiec,10,drewniane,miejskie,,52.234997899999996,20.992371300000002,,10.0,cegła,2004.0,15.0
2100,2100.0,33.0,2,blok,3,,miejskie,do zamieszkania,52.251873212371684,21.045335852917482,500.0,8.0,,2019.0,26.0
2400,2400.0,38.0,2,blok,2,plastikowe,miejskie,do zamieszkania,52.29063619316574,21.031439879406733,1.0,,pustak,,38.0
2599,2999.0,45.0,2,apartamentowiec,2,plastikowe,miejskie,do zamieszkania,52.235141283291426,20.959203592224124,395.0,10.0,,2012.0,25.0
2500,2500.0,46.0,2,blok,4,plastikowe,miejskie,do zamieszkania,52.236565153465826,21.08530305465576,,9.0,żelbet,2016.0,31.0
6500,,128.0,4,apartamentowiec,6,plastikowe,miejskie,,52.257769,20.994525399999997,,12.0,inne,2000.0,15.0
12000,,150.0,3,kamienica,5,,,do zamieszkania,52.2448229,21.0161556,,5.0,cegła,2008.0,24.0
5500,,123.0,4,apartamentowiec,2,,,,52.1986784,21.0100045,,6.0,cegła,2004.0,22.0
10000,,165.0,4,apartamentowiec,7,,,,52.1988759,21.0111024,,7.0,,,20.0
2600,,32.4,1,kamienica,3,plastikowe,miejskie,do zamieszkania,52.2330149,21.0238717,,3.0,cegła,1936.0,12.0
6000,,73.2,2,,3,,,do zamieszkania,52.2448229,21.0161556,,5.0,cegła,2008.0,24.0
3500,,43.0,2,,3,,,,52.23362,20.95361,,12.0,,,26.0
2500,,35.0,2,apartamentowiec,3,,,,52.2261959,20.95607758,,6.0,,2019.0,22.0
4000,,56.0,2,apartamentowiec,1,,,,52.2036645,20.9957289,,1.0,,2008.0,31.0
4500,,63.0,3,kamienica,2,,,,52.254847600000005,21.00548091,,3.0,,,29.0
6900,,80.0,3,apartamentowiec,1,,,,52.234224700000006,21.0157185,,8.0,,2010.0,15.0
2900,,45.0,2,,6,,,,52.235262,20.93267482,,7.0,,1960.0,29.0
7000,,58.0,2,apartamentowiec,> 10,,,,52.2343714,20.9994788,,44.0,,2014.0,8.0
4000,,51.7,2,apartamentowiec,5,,,,52.2233602,21.0186264,,7.0,,,17.0
4500,,66.0,2,apartamentowiec,6,,,,52.253051899999996,20.993076000000002,,8.0,cegła,2002.0,24.0
7500,,103.0,3,,1,,,,52.200845799999996,21.027860600000004,,7.0,,,32.0
3950,,47.7,2,apartamentowiec,3,,,,52.2360398,21.005429100000004,,14.0,,2009.0,9.0
6500,,65.0,2,,2,,,,52.2353016,21.0205557,,,,,18.0
12000,,180.0,4,,3,,,do zamieszkania,52.1716163,21.087657500000002,,3.0,cegła,2013.0,48.0
5900,,100.0,4,,7,,,,52.2545234,20.993662699999998,,8.0,,2010.0,24.0
3500,,46.0,2,kamienica,3,,,,52.2380329,21.010053,,,,1938.0,17.433333333333334
10500,,100.0,3,apartamentowiec,> 10,,,,52.237469,21.001720000000002,,11.0,,2010.0,14.45
3500,,78.0,3,apartamentowiec,2,,,,52.166275,21.0123639,,12.0,,,39.0
5000,,50.0,2,kamienica,2,,,,52.2327854,21.016657300000002,,,,,12.0
4500,,57.0,3,,2,,,,52.217738,21.0198569,,6.0,,1952.0,21.0
4500,,37.0,2,kamienica,4,,,,52.228970000000004,21.04791,,7.0,,1912.0,25.0
7500,,95.0,3,kamienica,2,,,,52.2322184,21.0135202,,5.0,,1890.0,13.0
4000,,40.0,2,apartamentowiec,7,,,,52.2467494,20.9931038,,10.0,,2019.0,25.0
5000,,114.0,4,apartamentowiec,5,,,,52.2131516,21.06080939,,5.0,,2019.0,33.0
2500,,45.0,2,apartamentowiec,5,,,,52.225836799999996,20.94964044,,6.0,,,21.0
2900,,35.0,2,apartamentowiec,8,,,,52.2442265,20.9827532,,8.0,,2019.0,26.0
2700,,46.0,2,,4,,,,52.235549799999994,21.0088619,,6.0,,,11.083333333333334
8000,,130.0,4,kamienica,parter,,,,52.2185593,20.9892451,,5.0,,1926.0,17.0
3900,,42.53,2,kamienica,4,,,,52.22830715,20.99566122,,4.0,,1912.0,16.0
3600,,41.0,2,,5,,,,52.2206828,21.0151826,,9.0,,1954.0,18.0
2700,,45.0,2,blok,3,,,,52.249396600000004,21.0703954,,5.0,,2008.0,32.0
4000,,55.0,2,apartamentowiec,2,,,,52.23198595,20.97907346,,11.0,,,20.0
3500,,56.0,2,apartamentowiec,5,,,,52.2298614,21.077137399999998,,5.0,,,30.0
3500,,75.0,3,,1,,,,52.22798345,21.10874782,,4.0,,,38.0
