Cena,Powierzchnia,Liczba pokoi,Rynek,Rodzaj zabudowy,Piętro,Liczba pięter,Materiał budynku,Okna,Rok budowy,Stan wykończenia,Czynsz,Forma własności,φ,λ,Ogrzewanie,Czas dojazdu do centrum
629000.0,56.4,3,wtórny,kamienica,2,,cegła,plastikowe,1936.0,do zamieszkania,500 zł,,52.21334194376337,20.974454785705568,miejskie,20.0
750000.0,49.2,2,pierwotny,apartamentowiec,3,5.0,,drewniane,2020.0,do wykończenia,,pełna własność,52.19832,21.01715,miejskie,23.0
850000.0,71.1,3,wtórny,blok,3,5.0,cegła,plastikowe,2000.0,do zamieszkania,650 zł,spółdzielcze własnościowe,52.13562166437779,21.060661254492192,gazowe,43.0
950000.0,102.62,3,wtórny,apartamentowiec,parter,4.0,cegła,drewniane,2008.0,,1 050 zł,pełna własność,52.1623348,21.077747,miejskie,46.0
650000.0,63.0,3,wtórny,blok,5,7.0,wielka płyta,plastikowe,1980.0,do zamieszkania,800 zł,spółdzielcze własnościowe,52.253550399999995,20.9184508,miejskie,44.0
470000.0,50.0,2,wtórny,blok,parter,12.0,,plastikowe,1977.0,do zamieszkania,470 zł,spółdzielcze wł. z KW,,,miejskie,
900000.0,77.3,3,wtórny,apartamentowiec,3,4.0,cegła,drewniane,2014.0,do zamieszkania,650 zł,pełna własność,52.159490000000005,21.076605100000002,miejskie,44.0
485000.0,31.0,2,wtórny,apartamentowiec,2,4.0,silikat,drewniane,2016.0,do zamieszkania,390 zł,pełna własność,52.1607061,21.0791109,miejskie,46.0
445000.0,48.0,4,wtórny,blok,4,4.0,wielka płyta,plastikowe,,do zamieszkania,,spółdzielcze własnościowe,52.2978514,21.0352534,miejskie,44.0
465000.0,62.5,3,wtórny,blok,> 10,13.0,,plastikowe,1981.0,,,spółdzielcze własnościowe,52.2408654,21.0903456,miejskie,37.0
435000.0,33.15,2,wtórny,kamienica,parter,3.0,cegła,plastikowe,1952.0,do zamieszkania,420 zł,pełna własność,52.20075515297208,21.02914680419921,miejskie,32.0
910000.0,84.6,4,wtórny,blok,3,7.0,żelbet,plastikowe,2014.0,do zamieszkania,780 zł,pełna własność,,,miejskie,
598000.0,53.31,3,wtórny,blok,2,10.0,beton,plastikowe,1980.0,do zamieszkania,660 zł,spółdzielcze wł. z KW,52.17437681242177,21.016334608459466,miejskie,34.0
265000.0,25.31,1,wtórny,blok,parter,8.0,wielka płyta,plastikowe,1962.0,do remontu,,pełna własność,52.240791287949584,20.963617301635747,miejskie,27.0
465000.0,48.9,2,wtórny,kamienica,2,3.0,cegła,plastikowe,1955.0,do zamieszkania,,pełna własność,52.2638943,21.033247,miejskie,34.0
880000.0,58.66,2,wtórny,kamienica,3,4.0,cegła,plastikowe,,do zamieszkania,497 zł,pełna własność,52.23220560000001,21.0594866,miejskie,21.0
463000.0,37.38,2,wtórny,blok,8,9.0,,plastikowe,,do zamieszkania,393 zł,spółdzielcze wł. z KW,52.231032527233104,21.038748460388177,miejskie,24.0
477400.0,42.47,2,pierwotny,blok,1,5.0,żelbet,plastikowe,2019.0,do wykończenia,,pełna własność,52.197531299999994,20.9397861,miejskie,35.0
820000.0,70.6,3,wtórny,apartamentowiec,1,9.0,żelbet,plastikowe,2014.0,do zamieszkania,600 zł,pełna własność,52.1855194,20.9951574,miejskie,40.0
420000.0,44.81,2,wtórny,blok,2,2.0,,plastikowe,2018.0,do zamieszkania,377 zł,pełna własność,,,,
565000.0,66.0,3,wtórny,blok,5,10.0,,plastikowe,1960.0,do remontu,630 zł,spółdzielcze wł. z KW,52.200642316993886,21.024478593701176,miejskie,33.0
440000.0,35.7,2,wtórny,blok,4,6.0,żelbet,drewniane,2015.0,do zamieszkania,366 zł,pełna własność,52.16829306572104,20.9922671,miejskie,43.0
765450.0,63.0,3,wtórny,apartamentowiec,2,3.0,silikat,plastikowe,2018.0,do zamieszkania,300 zł,pełna własność,,,miejskie,
460000.0,45.0,2,wtórny,apartamentowiec,2,3.0,cegła,plastikowe,2019.0,do zamieszkania,340 zł,pełna własność,52.3102751,21.0620732,miejskie,50.0
460000.0,37.0,2,wtórny,,3,7.0,,plastikowe,1961.0,do remontu,440 zł,,52.22720614527203,21.01498363599854,miejskie,14.0
474390.0,70.0,3,wtórny,kamienica,parter,3.0,cegła,plastikowe,1956.0,do zamieszkania,500 zł,pełna własność,52.1926049,20.892813699999998,miejskie,37.0
725000.0,82.0,4,wtórny,blok,3,7.0,cegła,plastikowe,2006.0,do zamieszkania,448 zł,pełna własność,52.18932120000001,20.906094,gazowe,32.0
598000.0,46.0,2,wtórny,blok,4,4.0,,plastikowe,,,650 zł,spółdzielcze wł. z KW,52.1297396,21.059500399999997,miejskie,45.0
440000.0,57.16,3,wtórny,blok,2,2.0,cegła,plastikowe,2010.0,do zamieszkania,570 zł,pełna własność,52.31232241654885,21.074091098950195,miejskie,64.0
545000.0,53.56,2,wtórny,blok,suterena,2.0,cegła,aluminiowe,1987.0,do zamieszkania,430 zł,pełna własność,52.2509088,20.8745574,miejskie,60.0
2275000.0,141.0,5,wtórny,,4,7.0,,,2005.0,,,pełna własność,52.20239,20.99599,,31.0
2890000.0,215.92,4,wtórny,apartamentowiec,6,7.0,cegła,,,,,pełna własność,52.20409,20.99704,miejskie,28.0
2730000.0,182.0,4,pierwotny,,5,6.0,,,2011.0,,,pełna własność,52.2088,21.02475,,29.0
2720000.0,186.35,5,wtórny,,parter,2.0,,,2012.0,,,pełna własność,52.17151,21.08752,,51.0
2440000.0,164.0,5,wtórny,,3,4.0,,,2017.0,,,pełna własność,52.20212,21.01304,,25.0
3880000.0,259.0,8,wtórny,,3,4.0,,,2017.0,,,,52.20212,21.01304,,25.0
4500000.0,99.0,3,wtórny,,parter,52.0,,,2017.0,,,,,,,
3950000.0,228.0,5,wtórny,apartamentowiec,> 10,17.0,,,1999.0,,,pełna własność,52.1819,21.02638,,26.0
3800000.0,140.0,3,wtórny,apartamentowiec,1,5.0,cegła,,2008.0,,,pełna własność,52.20893,21.031679999999998,miejskie,27.0
2090000.0,311.0,5,pierwotny,szeregowiec,parter,2.0,cegła,,2019.0,,,pełna własność,52.17699,21.07731,,45.0
3200000.0,154.0,4,wtórny,apartamentowiec,4,4.0,,,2015.0,,,pełna własność,52.16559,21.06895,miejskie,40.0
2800000.0,204.0,4,wtórny,,parter,2.0,,,2009.0,,,pełna własność,52.16884,21.08773,,46.0
998000.0,51.35,2,wtórny,apartamentowiec,parter,5.0,,drewniane,2013.0,do zamieszkania,,pełna własność,52.1881735,20.9946247,miejskie,35.0
5978921.3,206.74,5,wtórny,kamienica,5,5.0,cegła,,,do zamieszkania,,,52.2221458,21.01427119,miejskie,19.0
2350000.0,183.11,4,wtórny,apartamentowiec,4,4.0,,drewniane,2007.0,do zamieszkania,,pełna własność,52.163688,21.076351000000003,miejskie,47.0
2850000.0,179.0,4,wtórny,apartamentowiec,2,2.0,cegła,,,do zamieszkania,,pełna własność,52.1696149,21.078956299999998,inne,43.0
760000.0,43.0,2,wtórny,kamienica,2,3.0,cegła,drewniane,1950.0,do zamieszkania,415 zł,spółdzielcze własnościowe,52.2341936,21.0191708,miejskie,16.0
1280000.0,86.0,4,wtórny,apartamentowiec,1,4.0,,,2018.0,do zamieszkania,,pełna własność,52.15202,21.10499,,61.0
1780000.0,102.5,3,wtórny,apartamentowiec,1,4.0,,drewniane,2018.0,do zamieszkania,1 600 zł,pełna własność,52.231071899999996,21.039193899999997,miejskie,24.0
899000.0,51.22,3,wtórny,kamienica,3,5.0,cegła,plastikowe,1950.0,do zamieszkania,500 zł,pełna własność,52.23789743,21.01154836,miejskie,17.0
1369500.0,110.0,4,wtórny,apartamentowiec,3,3.0,,drewniane,2018.0,do zamieszkania,,pełna własność,52.16770895,21.06519205,miejskie,42.0
1395000.0,116.5,4,wtórny,,2,4.0,,,2010.0,,,,52.15842,21.0781,,43.0
1375000.0,102.0,4,wtórny,,1,3.0,,,2018.0,,,pełna własność,52.1693,21.11523,,61.0
1600000.0,126.5,4,wtórny,apartamentowiec,3,4.0,,,2010.0,,,,52.15992,21.0733,miejskie,40.0
1390000.0,104.0,4,wtórny,,1,3.0,,,2011.0,,,,52.1614,21.06897,,44.0
1850000.0,170.0,4,wtórny,,1,2.0,,,2004.0,,,,52.16728,21.0861,,42.0
1293000.0,143.7,5,wtórny,,parter,4.0,,,2008.0,,,pełna własność,52.16082,21.07801,,46.0
1280000.0,91.0,3,wtórny,,4,4.0,,,2010.0,,,pełna własność,52.172,21.0525,,39.0
1685000.0,150.0,5,wtórny,apartamentowiec,3,3.0,,,1999.0,,,,52.17411,21.08503,miejskie,49.0
1300000.0,84.0,3,wtórny,,parter,5.0,cegła,,2009.0,,,pełna własność,52.174640000000004,20.999000000000002,miejskie,47.0
1530000.0,96.0,3,wtórny,apartamentowiec,4,4.0,,,2010.0,,,pełna własność,52.15636,21.08258,miejskie,44.0
1850000.0,100.0,3,wtórny,,4,4.0,,,2010.0,,,pełna własność,52.15937,21.0809,,46.0
1810000.0,154.0,4,wtórny,,1,4.0,,,2010.0,,,,52.1641,21.07314,,42.0
1250000.0,115.0,3,wtórny,blok,1,6.0,cegła,,2000.0,,,,,,miejskie,
1404000.0,52.0,2,wtórny,kamienica,2,2.0,,,1770.0,,,,52.25209,21.00807,miejskie,32.0
1880000.0,153.53,4,wtórny,,1,2.0,,,2000.0,do zamieszkania,,pełna własność,52.3100342,20.933972100000002,,56.0
1219000.0,76.0,3,wtórny,apartamentowiec,4,4.0,,drewniane,2009.0,do zamieszkania,800 zł,,52.15202,21.10499,miejskie,61.0
818773.0,63.52,3,wtórny,apartamentowiec,2,2.0,,drewniane,2019.0,do zamieszkania,650 zł,,52.19592,21.014029999999998,miejskie,22.0
1610000.0,70.0,2,wtórny,apartamentowiec,6,8.0,,,,,,,52.23440735,21.015584,miejskie,17.0
